2025-09-20 00:47:34.609 | WARNING  | audio | save_original_audio_files:1022 | 无原始音频数据，跳过保存
2025-09-20 02:57:01.329 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:01.333 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.333 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001127, 增益=10.00
2025-09-20 02:57:01.333 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0323, rms_amp=0.0113, mean_amp=0.0087, non_zero_ratio=0.835, zero_ratio=0.165
2025-09-20 02:57:01.336 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.032349 > 0.003
2025-09-20 02:57:01.336 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0323, rms_amp=0.0113, buffer_before=0, buffer_after=4096, trimmed=False, processing_time=6.3ms
2025-09-20 02:57:01.342 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.011267, 时长=0.26s
2025-09-20 02:57:01.343 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:01.346 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.346 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001548, 增益=10.00
2025-09-20 02:57:01.346 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0369, rms_amp=0.0155, mean_amp=0.0130, non_zero_ratio=0.996, zero_ratio=0.004
2025-09-20 02:57:01.348 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.036926 > 0.003
2025-09-20 02:57:01.348 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0369, rms_amp=0.0155, buffer_before=4096, buffer_after=8192, trimmed=False, processing_time=5.4ms
2025-09-20 02:57:01.353 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.015482, 时长=0.26s
2025-09-20 02:57:01.353 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:01.356 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.357 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001645, 增益=10.00
2025-09-20 02:57:01.357 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0381, rms_amp=0.0164, mean_amp=0.0137, non_zero_ratio=0.993, zero_ratio=0.007
2025-09-20 02:57:01.359 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.038147 > 0.003
2025-09-20 02:57:01.359 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0381, rms_amp=0.0164, buffer_before=8192, buffer_after=12288, trimmed=False, processing_time=5.4ms
2025-09-20 02:57:01.363 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.016447, 时长=0.26s
2025-09-20 02:57:01.363 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:01.367 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.367 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001442, 增益=10.00
2025-09-20 02:57:01.367 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0317, rms_amp=0.0144, mean_amp=0.0125, non_zero_ratio=0.994, zero_ratio=0.006
2025-09-20 02:57:01.369 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.031738 > 0.003
2025-09-20 02:57:01.369 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0317, rms_amp=0.0144, buffer_before=12288, buffer_after=16384, trimmed=False, processing_time=5.8ms
2025-09-20 02:57:01.374 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.014420, 时长=0.26s
2025-09-20 02:57:01.374 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:01.378 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.378 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001516, 增益=10.00
2025-09-20 02:57:01.378 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0430, rms_amp=0.0152, mean_amp=0.0123, non_zero_ratio=0.991, zero_ratio=0.009
2025-09-20 02:57:01.380 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.043030 > 0.003
2025-09-20 02:57:01.380 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0430, rms_amp=0.0152, buffer_before=16384, buffer_after=20480, trimmed=False, processing_time=5.6ms
2025-09-20 02:57:01.388 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.015155, 时长=0.26s
2025-09-20 02:57:01.389 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:01.393 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.393 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001085, 增益=10.00
2025-09-20 02:57:01.394 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0266, rms_amp=0.0108, mean_amp=0.0090, non_zero_ratio=0.992, zero_ratio=0.008
2025-09-20 02:57:01.396 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[低]: max_amp=0.026550 > 0.003
2025-09-20 02:57:01.396 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0266, rms_amp=0.0108, buffer_before=20480, buffer_after=24576, trimmed=False, processing_time=6.8ms
2025-09-20 02:57:01.401 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.010845, 时长=0.26s
2025-09-20 02:57:01.402 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:01.405 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.406 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001031, 增益=10.00
2025-09-20 02:57:01.406 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0354, rms_amp=0.0103, mean_amp=0.0082, non_zero_ratio=0.989, zero_ratio=0.011
2025-09-20 02:57:01.408 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.035400 > 0.003
